name,followers_count,account,gender,agency,market_cap,debut_year
BTS,44300000,@BTS_twt,M,HYBE,99662,2013
EXO,12700000,@weareoneEXO,M,SM,15182,2012
TWICE,9800000,@JYPETWICE,F,JYP,21228,2015
GOT7,9600000,@GOT7Official,M,JYP,21228,2014
TXT,9100000,@TXT_bighit,M,HYBE,99662,2019
SEVENTEEN,8800000,@pledis_17,M,HYBE,99662,2015
NCT,8700000,@NCTsmtown,M,SM,15182,2016
NCT 127,7400000,@NCTsmtown_127,,SM,15182,2016
Stray Kids,7200000,@Stray_Kids,M,JYP,21228,2018
NCT Dream,7000000,@NCTsmtown_DREAM,M,SM,15182,2016
BLACKPINK,6000000,@BLACKPINK,F,YG,10688,2016
Red Velvet,5100000,@Rvsmtown,F,SM,15182,2014
MONSTA X,5000000,@OfficialMonstaX,M,Starship,,2015
ENHYPEN,4800000,@ENHYPEN,M,HYBE,99662,2020
ITZY,4600000,@ITZYofficial,F,JYP,21228,2019
ASTRO,3900000,@offclASTRO,M,FANTASIO,473,2016
Girls' Generation,3700000,@GirlsGeneration,F,SM,15182,2007
ATEEZ,3200000,@ATEEZofficial,M,Seven seasons,,2018
TREASURE,3100000,@treasuremembers,M,YG,10688,2020
SuperM,3000000,@superm,M,SM,15182,2019
Wanna One,2900000,@WannaOne_twt,M,"YMC,SWING",,2017
MAMAMOO,2400000,@RBW_MAMAMOO,F,RBW,1483,2014
aespa,2300000,@aespa_official,F,SM,15182,2020
DAY6,2300000,@day6official,M,JYP,21228,2015
SHINee,2200000,@SHINee,M,SM,15182,2008
WayV,2100000,@WayV_official,M,SM,15182,2019
BIGBANG,1800000,@YG_GlobalVIP,M,YG,10688,2006
THE BOYZ,1500000,@IST_THEBOYZ,M,IST,,2017
BTOB,1500000,@OFFICIALBTOB,M,CUBE,2285,2012
SUPER JUNIOR,1400000,@SJofficial,M,SM,67100,2005
