,artist,size,avg_degree,density,centralization(degree),centralization(betweenness),centralization(closeness),connectivity,efficiency,assortativity,s_metric,cluster
0,BTS,48,1.55,0.025,0.2617486338797815,5.710884798583749e-05,0.39128152206257677,0.15547329455314648,0.08289264939185625,-0.36162726772952153,438.0,2
1,EXO,27,1.54,0.045,0.1390374331550802,0.00022585342677015706,0.29971309159888354,0.24201680672268908,0.11806722689075626,-0.390557939914163,159.0,1
2,TWICE,61,1.63,0.022,0.18567197334320623,3.836450449323404e-05,0.2749366225674165,0.17045045045045046,0.07958558558558536,-0.4740091725799824,540.0,0
3,GOT7,109,1.73,0.014,0.07535483870967742,1.8596804737233864e-05,0.3029646757349522,0.2551111111111111,0.08297838246409699,-0.22300926572270433,1294.0,0
4,TXT,68,1.58,0.019,0.11344537815126049,1.7318988168550238e-05,0.22688078111751883,0.12311901504787962,0.057606019151846564,-0.35758823865911554,482.0,0
5,SEVENTEEN,45,1.64,0.03,0.19916142557651992,4.139041907254474e-05,0.2921104752822483,0.16632996632996633,0.08866442199775539,-0.5587628865979384,339.0,0
6,NCT,52,1.58,0.024,0.13365384615384615,9.6055893286007e-06,0.2011570809983808,0.0979020979020979,0.05936285936285938,-0.6056853800080688,341.0,0
7,NCT 127,55,1.55,0.022,0.094824016563147,4.4309152720369795e-06,0.14869477176098733,0.06800804828973843,0.044332662642521815,-0.5967249514293643,270.0,2
8,Stray Kids,58,1.63,0.023,0.24057971014492754,2.4833125355908485e-05,0.3555848922401914,0.16257545271629778,0.08832997987927566,-0.5935624771786233,663.0,0
9,NCT Dream,35,1.56,0.035,0.15327695560253699,5.747032247843494e-05,0.20861733707182178,0.13737373737373737,0.07937710437710435,-0.5579399141630902,185.0,2
10,BLACKPINK,24,1.3,0.036,0.07936507936507936,2.7230760821494417e-05,0.13489866981930473,0.07057057057057058,0.05117617617617619,-0.3278688524590171,60.0,1
11,Red Velvet,23,1.24,0.035,0.08095238095238096,1.3714762749511786e-05,0.14096245905769714,0.057057057057057055,0.0457957957957958,-0.42134831460674155,53.0,1
12,MONSTA X,44,1.4,0.023,0.2599153886832364,5.357469098572335e-05,0.3868882867525635,0.13568868407578086,0.07134323263355523,-0.3091557669441141,371.0,2
13,ENHYPEN,55,1.67,0.026,0.11634615384615385,0.00010487854948082211,0.38315768986143833,0.3123543123543124,0.12020202020201963,-0.45244591697524855,496.0,0
14,ITZY,37,1.25,0.022,0.12038717483363581,9.774887898942155e-06,0.21257646030785773,0.05026300409117475,0.03594389246054939,-0.339555932682789,135.0,2
15,ASTRO,12,1.14,0.057,0.04736842105263158,2.261292328565776e-05,0.08210526315789476,0.07142857142857142,0.06428571428571428,-0.3333333333333333,18.0,1
16,Girls' Generation,34,1.42,0.03,0.07955596669750231,7.69843743715561e-06,0.12703948743470866,0.06471631205673758,0.047429078014184396,-0.5943728018757323,112.0,2
17,ATEEZ,30,1.4,0.033,0.2897793263646922,0.00010010487111314003,0.4785286054026723,0.12956810631229235,0.08139534883720931,-0.35802469135802467,204.0,2
18,TREASURE,16,1.45,0.069,0.2904761904761905,0.0006582054309327036,0.4214927764034906,0.23376623376623376,0.13997113997114002,-0.3525773195876289,73.0,1
19,SuperM,56,1.44,0.019,0.10082023239917977,5.462196491388898e-06,0.170697042776269,0.06660006660006661,0.037462537462537485,-0.3411898878540201,239.0,2
20,Wanna One,25,1.25,0.032,0.1282051282051282,2.517046665246111e-05,0.22780344187226786,0.06538461538461539,0.047435897435897434,-0.220614828209765,70.0,1
21,MAMAMOO,13,1.3,0.068,0.09941520467836257,8.447043534762833e-05,0.15867446393762177,0.11052631578947368,0.08947368421052632,-0.5423728813559323,29.0,1
22,aespa,49,1.44,0.022,0.10085933966530981,1.2158364193407592e-05,0.15543116817067235,0.07199297629499561,0.042873865964296175,-0.41405755850727377,212.0,2
23,DAY6,47,1.65,0.029,0.19155844155844157,6.470431552274912e-05,0.2576080639313109,0.19924812030075187,0.09523809523809519,-0.4840237030151628,358.0,0
24,SHINee,21,1.2,0.035,0.18092691622103388,6.199725069090996e-05,0.31703396564988257,0.08235294117647059,0.057843137254901957,-0.2769596199524942,73.0,2
25,WayV,105,1.65,0.013,0.08342857142857144,7.433527501975632e-06,0.20860515987540443,0.11061117360329958,0.04881681456484625,-0.48933577087141983,877.0,0
26,BIGBANG,21,1.5,0.056,0.1794871794871795,0.0002473869232110989,0.2856364398385313,0.21957671957671956,0.11507936507936505,-0.23980523432745024,110.0,1
27,THE BOYZ,25,1.19,0.029,0.04634146341463415,3.975167302693437e-06,0.08175490779298039,0.041811846689895474,0.03542392566782811,-0.398026315789474,47.0,1
28,BTOB,39,1.7,0.038,0.1,2.753519036385507e-05,0.2096300467780684,0.1246376811594203,0.06629629629629624,0.10505944152612655,256.0,2
29,SUPER JUNIOR,9,1.2,0.086,0.31318681318681313,0.0010519395134779754,0.509811616954474,0.18095238095238095,0.13333333333333333,-0.38461538461538464,29.0,1
