name,followers_count,account
BTS,44.3M,@BTS_twt
EXO,12.7M,@weareoneEXO
TWICE,9.8M,@JYPETWICE
GOT7,9.6M,@GOT7Official
TXT,9.1M,@TXT_bighit
SEVENTEEN,8.8M,@pledis_17
NCT,8.7M,@NCTsmtown
NCT 127,7.4M,@NCTsmtown_127
Stray Kids,7.2M,@Stray_Kids
NCT Dream,7M,@NCTsmtown_DREAM
BLACKPINK,6M,@BLACKPINK
Red Velvet,5.1M,@Rvsmtown
MONSTA X,5M,@OfficialMonstaX
ENHYPEN,4.8M,@ENHYPEN
ITZY,4.6M,@ITZYofficial
ASTRO,3.9M,@offclASTRO
Girls' Generation,3.7M,@GirlsGeneration
ATEEZ,3.2M,@ATEEZofficial
TREASURE,3.1M,@treasuremembers
SuperM,3M,@superm
Wanna One,2.9M,@WannaOne_twt
MAMAMOO,2.4M,@RBW_MAMAMOO
aespa,2.3M,@aespa_official
DAY6,2.3M,@day6official
SHINee,2.2M,@SHINee
WayV,2.1M,@WayV_official
BIGBANG,1.8M,@YG_GlobalVIP
THE BOYZ,1.5M,@IST_THEBOYZ
BTOB,1.5M,@OFFICIALBTOB
SUPER JUNIOR,1.4M,@SJofficial
(G)I-DLE,1.4M,@G_I_DLE
CNBLUE,1.4M,@official_CNBLUE
GFRIEND,1.4M,@GFRDofficial
2PM,1.4M,@follow_2PM
IZ*ONE,1.3M,@official_izone
PENTAGON,1.3M,@CUBE_PTG
iKON,1.2M,@YG_iKONIC
VIXX,1M,@RealVIXX
NU'EST,965.1K,@NUESTNEWS
Kep1er,865.7K,@official_kep1er
Apink,863.7K,@Apink_2011
LOONA,858K,@loonatheworld
X1,833.4K,@x1official101
SF9,821.4K,@SF9official
ONEUS,737.1K,@official_ONEUS
INFINITE,629.1K,@official_IFNT
AB6IX,602.2K,@AB6IX
SISTAR,593.8K,@sistarsistar
TEEN TOP,577.1K,@TEEN_TOP
IVE,562.5K,@IVEstarship
A.C.E,546.3K,@official_ACE7
CRAVITY,536.8K,@CRAVITYstarship
VICTON,524.7K,@VICTON1109
Wonder Girls,521.6K,@WonderGirls
EVERGLOW,510.9K,@EVERGLOW_twt
KARD,496.1K,@KARD_Official
EXID,490.7K,@EXIDofficial
STAYC,462.8K,@STAYC_official
Dreamcatcher,446.9K,@hf_dreamcatcher
Block B,442.5K,@blockb_official
U-KISS,436K,@ukisskorea
CIX,400.8K,@CIX_Official
miss A,394.2K,@JYPEmissA
CLC,385.4K,@CUBECLC
fromis_9,373K,@realfromis_9
WJSN,353.9K,@WJSN_Cosmic
2NE1,340.4K,@GlobalBlackjack
WINNER,335.1K,@yg_winnercity
Golden Child,334.2K,@GoldenChild
TVXQ,332K,@TVXQ
B1A4,326K,@_B1A4OFFICIAL
BF,312.4K,@G_BoyFriend
Lovelyz,310K,@Official_LVLZ
MOMOLAND,291.1K,@MMLD_Official
P1Harmony,288.6K,@P1H_official
MCND,285.5K,@McndOfficial_
Weki Meki,279.6K,@WekiMeki
Weeekly,270.2K,@_Weeekly
WEi,249.5K,@WEi__Official
The Rose,236.6K,@TheRose_0803
NMIXX,232.8K,@NMIXX_official
Xdinary Heroes,226.1K,@XH_official
Shinhwa,217.7K,@ShinhwaCompany
Girl's Day,206K,@Girls_Day
ONF,202.4K,@WM_ONOFF
N.Flying,201.2K,@Nflyingofficial
Cherry Bullet,198.6K,@cherrybullet
SECRET NUMBER,196.9K,@5ecretNumber
TO1,187.2K,@TO1_offcl
VERIVERY,177.2K,@the_verivery
UNIQ,177.2K,@UNIQ_5
VAV,165.5K,@VAV_official
KNK,154.6K,@KNKOfficial220
DRIPPIN,148.9K,@DRIPPIN
E'LAST,142.7K,@ELASTofficial
gugudan,142K,@gu9udan
ZE:A,139.3K,@ZEA_9
PURPLE KISS,136.8K,@RBW_PURPLEKISS
BAE173,136.7K,@BAE173_official
Billlie,123K,@Billlieofficial
OnlyOneOf,122.1K,@OnlyOneOf_twt
Highlight,101.8K,@Highlight_Auent
Rocket Punch,101.6K,@RocketPunch
GWSN,101K,@official_GWSN
GHOST9,99.6K,@GHOST9OFFICIAL
DKB,97.5K,@DKB_BRAVE
100%,90.5K,@TOP_100PERCENT
Cross Gene,86K,@CROSS_GENE
I.O.I,84.5K,@ioi_official_
AKMU,82.4K,@official_akmu
APRIL,80.7K,@APRIL_DSPmedia
OMEGA X,77.6K,@OmegaX_official
DIA,77.6K,@dia_official
1TEAM,74.6K,@1team_twt
LADIES' CODE,71.8K,@polaris_lc
KINGDOM,70.2K,@KINGDOM_Gfent
MYNAME,66.8K,@MYNAME_2011
Hello Venus,66.6K,@chHELLOVENUS
9MUSES,66.6K,@9muses_
Brave Girls,64.5K,@BraveGirls
24K,64.1K,@24k__official
cignature,59.5K,@cignature_J9
Halo,58K,@HelloHALO_
1THE9,58K,@official__1the9
IN2IT,57.4K,@Official_IN2IT
JBJ95,55.7K,@jbj95
UNB,52.3K,@official_UN_B
DreamNote,51.8K,@iMe_Dreamnote
LABOUM,51K,@officialLABOUM
Brown Eyed Girls,50.3K,@officialBEG
HINAPIA,48.5K,@HINAPIAofficial
TRI.BE,46.3K,@tribedaloca
DONGKIZ,43.8K,@dongkiz_dy
PIXY,43.2K,@official_pixy
NATURE,41.8K,@nature_nchworld
Romeo,40.5K,@teamct_romeo
Boys Republic,38.6K,@officialBoysRep
Imfact,38.5K,@IMFACTofficial
Crayon Pop,37.4K,@crayonpop
D-CRUNCH,36.7K,@DIA_CRUNCH
Bolbbalgan4,34.9K,@BOL4_Official
TRCNG,33.4K,@TRCNG_official
IZ,32.6K,@official__IZ
PURPLEBECK,31.6K,@PURPLEBECK1
NewKidd,30.9K,@jflo_newkidd
MADTOWN,30.8K,@MADTOWN_GNI
Dal Shabet,30.3K,@dalshabet
NOIR,30.1K,@Noir__official
RAINZ,29.4K,@RAINZ_Official
Seven O’Clock,28.5K,@7OC_official
LUNARSOLAR,28.3K,@LUNARSOLAR_
HOT ISSUE,27.7K,@HOTISSUE_S2
MYTEEN,26.8K,@myteen_official
BESTie,25.4K,@OfficialBESTie
Pink Fantasy,24.3K,@pinkfantasy_kr
Busters,23.4K,@Busters_idol
SATURDAY,21.4K,@saturday718
SNUPER,21.1K,@snuper6
3YE,21K,@3ye_official
GreatGuys,20.7K,@GreatGuys_twt
A-Jax,20.1K,@A_JAXOFFICIAL
Bigflo,18.8K,@BigFlo_official
Davichi,18K,@officialDavichi
