name,followers_count,account
BTS,44300000,@BTS_twt
EXO,12700000,@weareoneEXO
TWICE,9800000,@JYPETWICE
GOT7,9600000,@GOT7Official
TXT,9100000,@TXT_bighit
SEVENTEEN,8800000,@pledis_17
NCT,8700000,@NCTsmtown
NCT 127,7400000,@NCTsmtown_127
Stray Kids,7200000,@Stray_Kids
NCT Dream,7000000,@NCTsmtown_DREAM
BLACKPINK,6000000,@BLACKPINK
Red Velvet,5100000,@Rvsmtown
MONSTA X,5000000,@OfficialMonstaX
ENHYPEN,4800000,@ENHYPEN
ITZY,4600000,@ITZYofficial
ASTRO,3900000,@offclASTRO
Girls' Generation,3700000,@GirlsGeneration
ATEEZ,3200000,@ATEEZofficial
TREASURE,3100000,@treasuremembers
SuperM,3000000,@superm
Wanna One,2900000,@WannaOne_twt
MAMAMOO,2400000,@RBW_MAMAMOO
aespa,2300000,@aespa_official
DAY6,2300000,@day6official
SHINee,2200000,@SHINee
WayV,2100000,@WayV_official
BIGBANG,1800000,@YG_GlobalVIP
THE BOYZ,1500000,@IST_THEBOYZ
BTOB,1500000,@OFFICIALBTOB
SUPER JUNIOR,1400000,@SJofficial
(G)I-DLE,1400000,@G_I_DLE
CNBLUE,1400000,@official_CNBLUE
GFRIEND,1400000,@GFRDofficial
2PM,1400000,@follow_2PM
IZ*ONE,1300000,@official_izone
PENTAGON,1300000,@CUBE_PTG
iKON,1200000,@YG_iKONIC
VIXX,1000000,@RealVIXX
NU'EST,965100,@NUESTNEWS
Kep1er,865700,@official_kep1er
Apink,863700,@Apink_2011
LOONA,858000,@loonatheworld
X1,833400,@x1official101
SF9,821400,@SF9official
ONEUS,737100,@official_ONEUS
INFINITE,629100,@official_IFNT
AB6IX,602200,@AB6IX
SISTAR,593800,@sistarsistar
TEEN TOP,577100,@TEEN_TOP
IVE,562500,@IVEstarship
A.C.E,546300,@official_ACE7
CRAVITY,536800,@CRAVITYstarship
VICTON,524700,@VICTON1109
Wonder Girls,521600,@WonderGirls
EVERGLOW,510900,@EVERGLOW_twt
KARD,496100,@KARD_Official
EXID,490700,@EXIDofficial
STAYC,462800,@STAYC_official
Dreamcatcher,446900,@hf_dreamcatcher
Block B,442500,@blockb_official
U-KISS,436000,@ukisskorea
CIX,400800,@CIX_Official
miss A,394200,@JYPEmissA
CLC,385400,@CUBECLC
fromis_9,373000,@realfromis_9
WJSN,353900,@WJSN_Cosmic
2NE1,340400,@GlobalBlackjack
WINNER,335100,@yg_winnercity
Golden Child,334200,@GoldenChild
TVXQ,332000,@TVXQ
B1A4,326000,@_B1A4OFFICIAL
BF,312400,@G_BoyFriend
Lovelyz,310000,@Official_LVLZ
MOMOLAND,291100,@MMLD_Official
P1Harmony,288600,@P1H_official
MCND,285500,@McndOfficial_
Weki Meki,279600,@WekiMeki
Weeekly,270200,@_Weeekly
WEi,249500,@WEi__Official
The Rose,236600,@TheRose_0803
NMIXX,232800,@NMIXX_official
Xdinary Heroes,226100,@XH_official
Shinhwa,217700,@ShinhwaCompany
Girl's Day,206000,@Girls_Day
ONF,202400,@WM_ONOFF
N.Flying,201200,@Nflyingofficial
Cherry Bullet,198600,@cherrybullet
SECRET NUMBER,196900,@5ecretNumber
TO1,187200,@TO1_offcl
VERIVERY,177200,@the_verivery
UNIQ,177200,@UNIQ_5
VAV,165500,@VAV_official
KNK,154600,@KNKOfficial220
DRIPPIN,148900,@DRIPPIN
E'LAST,142700,@ELASTofficial
gugudan,142000,@gu9udan
ZE:A,139300,@ZEA_9
PURPLE KISS,136800,@RBW_PURPLEKISS
BAE173,136700,@BAE173_official
Billlie,123000,@Billlieofficial
OnlyOneOf,122100,@OnlyOneOf_twt
Highlight,101800,@Highlight_Auent
Rocket Punch,101600,@RocketPunch
GWSN,101000,@official_GWSN
GHOST9,99600,@GHOST9OFFICIAL
DKB,97500,@DKB_BRAVE
100%,90500,@TOP_100PERCENT
Cross Gene,86000,@CROSS_GENE
I.O.I,84500,@ioi_official_
AKMU,82400,@official_akmu
APRIL,80700,@APRIL_DSPmedia
OMEGA X,77600,@OmegaX_official
DIA,77600,@dia_official
1TEAM,74600,@1team_twt
LADIES' CODE,71800,@polaris_lc
KINGDOM,70200,@KINGDOM_Gfent
MYNAME,66800,@MYNAME_2011
Hello Venus,66600,@chHELLOVENUS
9MUSES,66600,@9muses_
Brave Girls,64500,@BraveGirls
24K,64100,@24k__official
cignature,59500,@cignature_J9
Halo,58000,@HelloHALO_
1THE9,58000,@official__1the9
IN2IT,57400,@Official_IN2IT
JBJ95,55700,@jbj95
